_marker_key	ERS626510_AVG TPM	ERS626511_AVG TPM	ERR756284	ERR756286	ERS626510_QN TPM	ERS626511_QN TPM	AVG QN TPM	RNASeq_Level
3	0.75	0.77	0.36	1.82	0.93	0.76	0.8	Low
7	0	0	0	0	0	0	0	Below Cutoff
16	67.3	69.56	74.55	69.13	70.14	69.35	70	Medium
17	26.46	29.19	27.66	29.78	28.27	28.43	28	Medium
20	0	0	0	0	0	0	0	Below Cutoff
21	0	0	0	0	0	0	0	Below Cutoff
22	0	0	0	0	0	0	0	Below Cutoff
24	24.08	30.64	29.38	29.92	28.51	29.65	29	Medium
25	21.98	25.09	26.16	27.04	25.07	25.63	25	Medium
26	75.63	69.76	74.77	77.13	74.32	75.20	75	Medium
29	20.44	22.31	25.35	23.43	22.88	22.87	23	Medium
30	157.17	141.35	161.46	138.29	149.57	149.26	149	Medium
32	29.06	25.6	31.58	31.44	29.42	30.25	30	Medium
33	0.5	0.68	0.4	0.81	0.60	0.59	0.6	Low
36	2.18	4.66	0.99	2.69	2.63	2.44	3	Low
43	0.17	0.35	0.16	0.14	0.21	0.17	0.2	Below Cutoff
47	79.56	72.9	70.17	75.88	74.63	74.39	75	Medium
48	202.99	200.34	216.65	204.59	206.14	203.79	205	Medium
51	141.55	136.71	138.21	141.06	139.38	139.64	140	Medium
52	26.91	26.37	26.59	27.86	26.93	26.75	27	Medium
53	8.43	30.7	9.88	15.39	16.10	12.64	14	Medium
54	0	0	0	0.47	0.12	0	0.1	Below Cutoff
55	0.7	0.72	0.38	0.32	0.53	0.54	0.5	Low
60	0	0	0	0	0	0	0	Below Cutoff
61	1.17	2.64	3.25	2.97	2.51	2.81	3	Low
62	6.21	6.61	9.9	6.86	7.40	6.74	7	Low
63	0.28	1.15	0.94	0.68	0.76	0.81	0.8	Low
64	0.87	1.42	1.82	2.52	1.66	1.62	2	Low
67	0.89	1.28	1.4	0.8	1.09	1.09	1	Low
68	2	2.65	3.03	2.86	2.64	2.76	3	Low
69	0.27	0.27	0.13	0.11	0.20	0.20	0.2	Below Cutoff
70	0	0	0	0	0	0	0	Below Cutoff
71	0.21	0.43	0.6	0.51	0.44	0.47	0.5	Low
85	68.86	58.97	59.03	75.58	65.61	63.95	65	Medium
88	2926.82	2654.28	2982.17	2707.99	2817.82	2817.41	2818	High
90	971.39	897.31	798.76	981.83	912.32	934.35	923	Medium
91	2702.26	2319.99	2526.26	2491.12	2509.91	2508.69	2509	High
92	1.95	2.79	1.12	1.26	1.78	1.61	2	Low
96	448.76	380.4	371.86	438.31	409.83	409.36	410	Medium
99	53.52	62.1	63.93	61.91	60.37	62.01	61	Medium
102	27.82	22.98	23.1	24.54	24.61	23.82	24	Medium
103	0	0	0	0	0	0	0	Below Cutoff
105	9.65	12.32	15.44	11.35	12.19	11.84	12	Medium
107	36.89	38.35	38.69	39.41	38.34	38.52	38	Medium
109	84.59	83.54	85.85	85.09	84.77	84.84	85	Medium
110	4.2	7.61	5.28	5.11	5.55	5.20	5	Low
111	56.86	63.58	58.66	59.74	59.71	59.20	59	Medium
121	2.56	4.02	3.18	2.23	3.00	2.87	3	Low
126	0	0	0	0	0	0	0	Below Cutoff
129	123.77	114.58	116.36	120.32	118.76	118.34	119	Medium
130	46.9	39.97	39.55	43.76	42.55	41.87	42	Medium
131	0	0	0	0	0	0	0	Below Cutoff
141	1.39	1.77	1.21	1.31	1.42	1.35	1	Low
