_marker_key	GSM1083970_1_AVG TPM	GSM1083970_1_QN TPM	AVG QN TPM	RNASeq_Level
3	0.44	0.44	0.4	Below Cutoff
7	0.12	0.12	0.1	Below Cutoff
16	100.67	100.67	101	Medium
17	33.10	33.10	33	Medium
20	0	0	0	Below Cutoff
21	0	0	0	Below Cutoff
22	0	0	0	Below Cutoff
24	91.26	91.26	91	Medium
25	42.05	42.05	42	Medium
26	64.13	64.13	64	Medium
29	87.16	87.16	87	Medium
30	168.04	168.04	168	Medium
32	31.49	31.49	31	Medium
33	1.09	1.09	1	Low
36	1.43	1.43	1	Low
43	0.38	0.38	0.4	Below Cutoff
47	62.63	62.63	63	Medium
48	177.97	177.97	178	Medium
51	116.89	116.89	117	Medium
52	38.15	38.15	38	Medium
53	5.51	5.51	6	Low
54	0.68	0.68	0.7	Low
55	0.18	0.18	0.2	Below Cutoff
60	0	0	0	Below Cutoff
61	11.91	11.91	12	Medium
62	2.29	2.29	2	Low
63	6.18	6.18	6	Low
64	5.27	5.27	5	Low
67	1.51	1.51	2	Low
68	5.74	5.74	6	Low
69	0	0	0	Below Cutoff
70	0.79	0.79	0.8	Low
71	0	0	0	Below Cutoff
85	0.33	0.33	0.3	Below Cutoff
88	2101.12	2101.12	2101	High
90	3.07	3.07	3	Low
91	2200.39	2200.39	2200	High
92	0.46	0.46	0.5	Below Cutoff
96	1702.83	1702.83	1703	High
99	38.33	38.33	38	Medium
102	16.05	16.05	16	Medium
103	0.13	0.13	0.1	Below Cutoff
105	7.28	7.28	7	Low
107	78.22	78.22	78	Medium
109	121.67	121.67	122	Medium
110	8.30	8.30	8	Low
111	66.90	66.90	67	Medium
121	4.20	4.20	4	Low
126	0.03	0.03	0	Below Cutoff
129	95.20	95.20	95	Medium
130	23.05	23.05	23	Medium
131	0	0	0	Below Cutoff
141	1.12	1.12	1	Low
142	0.70	0.70	0.7	Low
143	0	0	0	Below Cutoff
147	2.11	2.11	2	Low
148	0.48	0.48	0.5	Below Cutoff
149	16.65	16.65	17	Medium
152	75.89	75.89	76	Medium
153	15.20	15.20	15	Medium
165	2.46	2.46	2	Low
166	84.93	84.93	85	Medium
174	94.46	94.46	94	Medium
191	181.91	181.91	182	Medium
193	0.38	0.38	0.4	Below Cutoff
196	1.20	1.20	1	Low
197	0.23	0.23	0.2	Below Cutoff
198	4.73	4.73	5	Low
203	134.03	134.03	134	Medium
223	13.38	13.38	13	Medium
245	25.30	25.30	25	Medium
246	196.60	196.60	197	Medium
247	28.47	28.47	28	Medium
253	0.10	0.10	0.1	Below Cutoff
255	1.77	1.77	2	Low
256	0	0	0	Below Cutoff
258	256.84	256.84	257	Medium
271	21.93	21.93	22	Medium
272	13.80	13.80	14	Medium
274	1.65	1.65	2	Low
279	296.42	296.42	296	Medium
279	7.51	7.51	8	Low
280	25.97	25.97	26	Medium
287	0.25	0.25	0.2	Below Cutoff
292	20.08	20.08	20	Medium
295	116.55	116.55	117	Medium
296	0.16	0.16	0.2	Below Cutoff
298	0.67	0.67	0.7	Low
310	0	0	0	Below Cutoff
311	39.09	39.09	39	Medium
312	0	0	0	Below Cutoff
316	0.58	0.58	0.6	Low
317	0	0	0	Below Cutoff
321	4.10	4.10	4	Low
328	1.33	1.33	1	Low
329	5.30	5.30	5	Low
330	8.33	8.33	8	Low
336	25.67	25.67	26	Medium
337	19.26	19.26	19	Medium
340	148.48	148.48	148	Medium
343	0.28	0.28	0.3	Below Cutoff
346	10.92	10.92	11	Low
348	46.96	46.96	47	Medium
352	26.22	26.22	26	Medium
353	123.46	123.46	123	Medium
361	47.21	47.21	47	Medium
362	126.62	126.62	127	Medium
368	9.89	9.89	10	Low
369	1.56	1.56	2	Low
370	0	0	0	Below Cutoff
371	0.29	0.29	0.3	Below Cutoff
373	3.13	3.13	3	Low
374	0	0	0	Below Cutoff
375	0.07	0.07	0.1	Below Cutoff
376	0.14	0.14	0.1	Below Cutoff
377	34.07	34.07	34	Medium
378	0.10	0.10	0.1	Below Cutoff
379	77.33	77.33	77	Medium
381	187.33	187.33	187	Medium
382	0	0	0	Below Cutoff
386	0.21	0.21	0.2	Below Cutoff
387	40.37	40.37	40	Medium
389	1.32	1.32	1	Low
390	0	0	0	Below Cutoff
395	3.31	3.31	3	Low
396	45.78	45.78	46	Medium
407	8.65	8.65	9	Low
409	17.66	17.66	18	Medium
419	0.30	0.30	0.3	Below Cutoff
420	0.34	0.34	0.3	Below Cutoff
422	12.15	12.15	12	Medium
433	0	0	0	Below Cutoff
435	29.58	29.58	30	Medium
445	0.17	0.17	0.2	Below Cutoff
447	219.36	219.36	219	Medium
459	259.47	259.47	259	Medium
460	1.85	1.85	2	Low
461	1.30	1.30	1	Low
462	70.21	70.21	70	Medium
463	4.58	4.58	5	Low
465	186.59	186.59	187	Medium
466	50.53	50.53	51	Medium
468	0.44	0.44	0.4	Below Cutoff
469	0.36	0.36	0.4	Below Cutoff
470	940.64	940.64	941	Medium
478	30.64	30.64	31	Medium
481	14.47	14.47	14	Medium
487	0.11	0.11	0.1	Below Cutoff
489	0.03	0.03	0	Below Cutoff
494	184.39	184.39	184	Medium
516	150.78	150.78	151	Medium
524	40.44	40.44	40	Medium
529	29.54	29.54	30	Medium
530	41.02	41.02	41	Medium
531	7.77	7.77	8	Low
533	34.22	34.22	34	Medium
536	0.37	0.37	0.4	Below Cutoff
537	1.95	1.95	2	Low
549	31.44	31.44	31	Medium
554	0.75	0.75	0.8	Low
555	0.76	0.76	0.8	Low
