_marker_key	Sample 31_AVG TPM	Sample 32_AVG TPM	Sample 33_AVG TPM	Sample 34_AVG TPM	Sample 31_QN TPM	Sample 32_QN TPM	Sample 33_QN TPM	Sample 34_QN TPM	AVG QN TPM	RNASeq_Level
3	0	1.12	0	0	0.28	0	0.14	0.14	0.1	Below Cutoff
7	0.29	0.56	0.14	0.66	0.41	0.43	0.42	0.42	0.4	Below Cutoff
16	27.66	23.71	29.74	21.42	25.63	25.69	25.66	25.66	26	Medium
17	30.61	23.48	21.35	15.11	22.64	22.42	22.53	22.53	23	Medium
20	0	0	0	0	0	0	0	0	0	Below Cutoff
21	0	0	0	0	0	0	0	0	0	Below Cutoff
22	0	0	0	0	0	0	0	0	0	Below Cutoff
24	68.36	56.93	72.96	51.67	62.48	62.65	62.56	62.56	63	Medium
25	30.13	28.84	26.72	23.59	27.32	27.78	27.55	27.55	28	Medium
26	13.25	13.16	15.85	13.7	13.99	13.48	13.73	13.73	14	Medium
29	92.07	88.42	77.69	83.52	85.43	85.97	85.70	85.70	86	Medium
30	41.11	46.93	46.69	41.56	44.07	44.13	44.10	44.10	44	Medium
32	28.56	32.49	27.51	38.06	31.66	30.53	31.09	31.09	31	Medium
33	21.24	21.53	21.78	15.01	19.89	21.39	20.64	20.64	21	Medium
36	126.82	175.97	164.88	159.47	156.79	162.18	159.48	159.48	159	Medium
43	0.52	1.03	0.24	0.84	0.66	0.68	0.67	0.67	0.7	Low
47	29.78	22.98	29.11	23.3	26.29	26.21	26.25	26.25	26	Medium
48	477.99	446.02	538.37	426.45	472.21	462.01	467.11	467.11	467	Medium
51	50.9	55.42	51.65	48.34	51.58	51.28	51.43	51.43	51	Medium
52	65.28	67.3	61.95	54.12	62.16	63.62	62.89	62.89	63	Medium
53	1.18	1.94	1.94	2.78	1.96	1.94	1.95	1.95	2	Low
54	3.72	1.96	2.01	2.66	2.59	2.34	2.46	2.46	2	Low
55	0.42	1.12	0.96	0.64	0.79	0.80	0.79	0.79	0.8	Low
60	1.12	0	0.08	0.19	0.35	0.14	0.24	0.24	0.2	Below Cutoff
61	1.97	24.86	18.6	27.41	18.21	21.73	19.97	19.97	20	Medium
62	24.91	90.33	105.86	82.89	76.00	86.61	81.30	81.30	81	Medium
63	0.51	0.31	2.32	0.08	0.81	0.41	0.61	0.61	0.6	Low
64	4.42	2.72	4.42	1.67	3.31	3.57	3.44	3.44	3	Low
67	48.59	66.94	55.61	52.8	55.99	54.21	55.10	55.10	55	Medium
68	1.29	21.94	12.83	21.69	14.44	17.26	15.85	15.85	16	Medium
69	0	0	0	0	0	0	0	0	0	Below Cutoff
70	4.09	0	0.36	0	1.11	0.18	0.65	0.65	0.6	Low
71	0	0	0	0	0	0	0	0	0	Below Cutoff
85	11.09	8.12	4.33	7.66	7.80	7.89	7.85	7.85	8	Low
88	2298.22	1644.42	1799.15	1807.9	1887.42	1803.53	1845.47	1845.47	1845	High
90	0.16	0	0	0.29	0.11	0.08	0.10	0.10	0.1	Below Cutoff
91	1025.22	819.82	806.85	891.69	885.90	855.76	870.83	870.83	871	Medium
92	0.95	0.29	0.27	0.21	0.43	0.28	0.36	0.36	0.4	Below Cutoff
96	99.37	30.21	53.11	49.58	58.07	51.35	54.71	54.71	55	Medium
99	9.76	11.44	7.77	3.24	8.05	8.77	8.41	8.41	8	Low
102	11.31	10.51	16.1	13.97	12.97	12.64	12.81	12.81	13	Medium
103	13.95	14.49	24.87	18.31	17.91	16.40	17.15	17.15	17	Medium
105	1.73	1.97	1.36	1.41	1.62	1.57	1.59	1.59	2	Low
107	25.43	37.63	24.06	27.46	28.65	26.45	27.55	27.55	28	Medium
109	150.68	131.39	136.87	116.81	133.94	134.13	134.03	134.03	134	Medium
110	101.77	78.16	71.21	50.79	75.48	74.69	75.08	75.08	75	Medium
111	8.49	9.62	8.86	7.04	8.50	8.68	8.59	8.59	9	Low
