CC011/Unc	MGI:5749398
CC083/Unc	MGI:6188512
CC082/Unc	MGI:6188513
CC081/Unc	MGI:6188514
CC080/TauUnc	MGI:6188515
CC079/TauUnc	MGI:6188516
CC078/TauUnc	MGI:6188517
CC076/Unc	MGI:6188518
CC075/Unc	MGI:6188519
CC074/Unc	MGI:6188520
CC073/Unc	MGI:6188521
CC072/TauUnc	MGI:6188522
CC071/TauUnc	MGI:6188523
CC070/TauUnc	MGI:6188524
CC068/TauUnc	MGI:6188525
CC065/Unc	MGI:6188526
CC063/Unc	MGI:6188527
CC062/Unc	MGI:6188528
CC061/GeniUnc	MGI:6188529
CC060/Unc	MGI:6188530
CC059/TauUnc	MGI:6188531
CC058/Unc	MGI:6188532
CC057/Unc	MGI:6188533
CC056/GeniUnc	MGI:6188534
CC055/TauUnc	MGI:6188535
CC053/Unc	MGI:6188536
CC052/GeniUnc	MGI:6188537
CC051/TauUnc	MGI:6188538
CC050/Unc	MGI:6188539
CC049/TauUnc	MGI:6188540
CC047/Unc	MGI:6188541
CC046/Unc	MGI:6188542
CC045/GeniUnc	MGI:6188543
CC044/Unc	MGI:6188544
CC043/GeniUnc	MGI:6188545
CC042/GeniUnc	MGI:6188546
CC041/TauUnc	MGI:6188547
CC040/TauUnc	MGI:6188548
CC039/Unc	MGI:6188549
CC038/GeniUnc	MGI:6188550
CC037/TauUnc	MGI:6188551
CC036/Unc	MGI:6188552
CC035/Unc	MGI:6188553
CC034/Unc	MGI:6188554
CC033/GeniUnc	MGI:6188555
CC032/GeniUnc	MGI:6188556
CC031/GeniUnc	MGI:6188557
CC030/GeniUnc	MGI:6188558
CC029/Unc	MGI:6188559
CC028/GeniUnc	MGI:6188560
CC027/GeniUnc	MGI:6188561
CC026/GeniUnc	MGI:6188562
CC025/GeniUnc	MGI:6188563
CC024/GeniUnc	MGI:6188564
CC023/GeniUnc	MGI:6188565
CC022/GeniUnc	MGI:6188566
CC021/Unc	MGI:6188567
CC020/GeniUnc	MGI:6188568
CC019/TauUnc	MGI:6188569
CC018/Unc	MGI:6188570
CC017/Unc	MGI:6188571
CC016/GeniUnc	MGI:6188572
CC015/Unc	MGI:6188573
CC013/GeniUnc	MGI:6188574
CC012/GeniUnc	MGI:6188575
CC010/GeniUnc	MGI:6188576
CC009/Unc	MGI:6188577
CC008/GeniUnc	MGI:6188578
CC007/Unc	MGI:6188579
CC006/TauUnc	MGI:6188580
CC005/TauUnc	MGI:6188581
CC004/TauUnc	MGI:6188582
CC003/Unc	MGI:6188583
CC002/Unc	MGI:6188584
CC001/Unc	MGI:6188585
