MP ID	MP Term	EMAPA ID	EMAPA term	Genocluster mappings	Test comments
MP:0001265	decreased body size	EMAPA:25765	mouse	Pax4: genocluster #1	Pax4 = 5 genoclusters that roll-up for HMDC; 2 of those have no EMAPA translations; Expect 3 in this matrix
MP:0005568	increased circulating total protein level	EMAPA:16332	blood	Pax4: genocluster #3	"This annotation forces a row with no GXD expression to be displayed, ""hemolymphoid system""."
MP:0005379	endocrine/exocrine gland phenotype	EMAPA:18425	gland	Pax4: genocluster #4; normal annotation	
MP:0005215	abnormal pancreatic islet morphology	EMAPA:32927	islets of Langerhans	Pax4: genocluster #4	2 parents: falls under 2 different systems: alimentary and endocrine.
MP:0001944	abnormal pancreas morphology	EMAPA:17503	pancreas	Pax4: genocluster #1 & 4	
MP:0002694	abnormal pancreas secretion	EMAPA:17503	pancreas	Pax4: genocluster #4	
MP:0001131	abnormal ovarian follicle morphology	EMAPA:35627	ovary follicle	"Sry: genocluster #6; this annotation rolls up to 2 MP headers, but counts as 1 annotation for this matrix"	Sry = 12 genoclusters that roll-up in HMDC; 3 of those have no EMAPA translations; Expect 9 in this matrix
MP:0005180	abnormal circulating testosterone level	EMAPA:16332	blood	Sry: genocluster #6	
MP:0005389	reproductive system phenotype	EMAPA:17381	reproductive system	Sry: genocluster #1-Normal annotation; #2 - Normal & background sensitivity	
MP:0001924	infertility	EMAPA:25765	mouse	"Sry: genoclusters #8, 9, 10, 11"	"All of these genoclusters have just this translation to ""mouse"""
MP:0002213	true hermaphroditism	EMAPA:25765	mouse	"Sry: genoclusters #3, 7"	"Both of these genoclusters have just this translation to ""mouse"""
MP:0011129	decreased secondary ovarian follicle number	EMAPA:30763	ovary tertiary follicle	Sry: genocluster #6; 1-n mapping	
MP:0011129	decreased secondary ovarian follicle number	EMAPA:30777	Graafian follicle	Sry: genocluster #6; 1-n mapping	
MP:0011129	decreased secondary ovarian follicle number	EMAPA:35625	ovary antral follicle	Sry: genocluster #6; 1-n mapping	
MP:0001926	female infertility	EMAPA:25765	mouse	Sry: genocluster #6	
